Ins,LB.2nd.Stage,Time.LB,OP.status,MP.Status,SP.Status,Num.Iteration,"#Avg,Iter",Gap,Total.Time,Avg.Total.Time,Total.Time.MP,Total.Time.SP,Avg.Time.MP,Avg.Time.SP,UB,LB,Obj.MP,Obj-F1F2,Obj-theta,Obj-SP,Num.OptCut,Num.NogoodCut
60_7,-1,0,-1,1,-1,1,,-1,3605.062244,,55.518011,3549.544233,55.518011,3549.544233,100000,60001,60001,60001,0,-1,-1,0
60_6,-1,0,-1,1,-1,1,,-1,3605.060634,,247.122382,3357.938252,247.122382,3357.938252,100000,70001,70001,70001,0,-1,-1,0
60_9,-1,0,-1,1,-1,1,,-1,3606.377245,,397.091913,3209.285332,397.091913,3209.285332,100000,80001,80001,80001,0,-1,-1,0
60_8,-1,0,-1,1,-1,1,,-1,3605.232099,,68.260135,3536.971964,68.260135,3536.971964,100000,60001,60001,60001,0,-1,-1,0
60_14,-1,0,-1,-1,-1,1,,-1,3605.017316,,3605.017316,0,3605.017316,0,100000,0.001,-1,-1,-1,-1,-1,0
60_13,-1,0,-1,1,-1,1,,-1,3605.083751,,67.125799,3537.957952,67.125799,3537.957952,100000,60001,60001,60001,0,-1,-1,0
60_11,-1,0,-1,1,-1,1,,-1,3605.058137,,90.107076,3514.951061,90.107076,3514.951061,100000,60002,60002,60002,0,-1,-1,0
60_16,-1,0,-1,1,-1,1,,-1,3605.256561,,68.63139,3536.625171,68.63139,3536.625171,100000,60002,60002,60002,0,-1,-1,0
60_12,-1,0,-1,1,-1,1,,-1,3607.817597,,65.405236,3542.412361,65.405236,3542.412361,100000,60003,60003,60003,0,-1,-1,0
60_15,-1,0,-1,1,-1,1,,-1,3606.714986,,34.28774,3572.427246,34.28774,3572.427246,100000,60001,60001,60001,0,-1,-1,0
60_10,-1,0,-1,1,-1,1,,-1,3605.06223,,120.499214,3484.563016,120.499214,3484.563016,100000,60002,60002,60002,0,-1,-1,0
60_17,-1,0,-1,1,-1,1,,-1,3605.063069,,69.687099,3535.37597,69.687099,3535.37597,100000,60002,60002,60002,0,-1,-1,0
60_18,-1,0,-1,1,-1,1,,-1,3605.05494,,70.500723,3534.554217,70.500723,3534.554217,100000,60001,60001,60001,0,-1,-1,0
60_19,-1,0,-1,1,-1,1,,-1,3605.096292,,75.57941,3529.516882,75.57941,3529.516882,100000,60002,60002,60002,0,-1,-1,0
60_20,-1,0,-1,1,-1,1,,-1,3606.182086,,69.048362,3537.133724,69.048362,3537.133724,100000,60002,60002,60002,0,-1,-1,0
60_22,-1,0,-1,1,-1,1,,-1,3605.072984,,101.889992,3503.182992,101.889992,3503.182992,100000,60003,60003,60003,0,-1,-1,0
60_21,-1,0,-1,1,-1,1,,-1,3605.073959,,126.315222,3478.758737,126.315222,3478.758737,100000,60002,60002,60002,0,-1,-1,0
60_23,-1,0,-1,-1,-1,1,,-1,3605.095515,,3605.095515,0,3605.095515,0,100000,0.001,-1,-1,-1,-1,-1,0
